timestamp,building_1,building_2
2016-01-01 00:00:00,186.532,219.27
2016-01-01 01:00:00,186.532,219.27
2016-01-01 02:00:00,183.479,218.348
2016-01-01 03:00:00,184.303,220.003
2016-01-01 04:00:00,183.657,217.731
2016-01-01 05:00:00,183.035,217.205
2016-01-01 06:00:00,184.267,222.189
2016-01-01 07:00:00,185.536,226.622
2016-01-01 08:00:00,187.516,228.281
2016-01-01 09:00:00,188.445,229.488
2016-01-01 10:00:00,187.656,226.025
2016-01-01 11:00:00,188.702,228.747
2016-01-01 12:00:00,188.487,228.251
2016-01-01 13:00:00,188.635,225.856
2016-01-01 14:00:00,186.884,227.95
2016-01-01 15:00:00,187.18400000000003,227.808
2016-01-01 16:00:00,184.757,224.38
2016-01-01 17:00:00,186.764,225.2
2016-01-01 18:00:00,189.103,225.778
2016-01-01 19:00:00,187.068,221.605
2016-01-01 20:00:00,187.342,220.769
2016-01-01 21:00:00,186.962,220.767
2016-01-01 22:00:00,186.701,221.164
2016-01-01 23:00:00,186.228,219.085
2016-01-02 00:00:00,186.023,217.769
2016-01-02 01:00:00,185.972,217.903
2016-01-02 02:00:00,183.336,216.03
2016-01-02 03:00:00,183.462,216.413
2016-01-02 04:00:00,182.606,217.27
2016-01-02 05:00:00,182.196,216.922
2016-01-02 06:00:00,183.051,217.037
2016-01-02 07:00:00,184.493,221.021
2016-01-02 08:00:00,186.6,223.144
2016-01-02 09:00:00,185.133,219.617
2016-01-02 10:00:00,187.592,219.615
2016-01-02 11:00:00,186.628,223.774
2016-01-02 12:00:00,186.845,227.274
2016-01-02 13:00:00,185.702,223.661
2016-01-02 14:00:00,188.296,221.741
2016-01-02 15:00:00,190.26,222.524
2016-01-02 16:00:00,191.563,221.205
2016-01-02 17:00:00,190.057,219.522
2016-01-02 18:00:00,188.54,221.457
2016-01-02 19:00:00,186.514,217.024
2016-01-02 20:00:00,186.041,215.24
2016-01-02 21:00:00,185.862,217.004
2016-01-02 22:00:00,186.079,215.649
2016-01-02 23:00:00,185.874,215.277
2016-01-03 00:00:00,186.499,215.432
2016-01-03 01:00:00,183.517,215.966
2016-01-03 02:00:00,183.202,215.518
2016-01-03 03:00:00,183.193,215.661
2016-01-03 04:00:00,181.634,215.955
2016-01-03 05:00:00,183.703,216.767
2016-01-03 06:00:00,182.51,215.209
